"time","billboard","tree","lake","house","sign","type","tree_PC1","Edge","Hue","Sat","Lum","sdHue","sdSat","sdBright","Entropy","AvePref","Type","Slope"
31,0,-0.244255380522966,0,0,0,"flat0",-0.434474494882668,-0.778760316817147,-0.324989960631189,-0.535179350736365,0.60131996362615,-0.618650609539195,-0.631489105137048,-0.528774314641643,-0.799496224831004,0.0994732812590103,"flatagr",NA
31.5,0,-0.432302223752679,0,0,0,"flat0",-0.516417699657805,-0.837825802373245,-0.329731053944893,-0.511013659519526,0.599002630648192,-0.597519827690546,-0.580182338718399,-0.52571207724507,-0.860966977636363,0.0247980603880511,"flatagr",NA
32,0,-0.694334710220311,0,0,0,"flat0",-0.642385357148179,-0.480892539663036,-0.345545899981514,-0.467162372049911,0.575496062694521,-0.557308213027679,-0.526779006877437,-0.498525641988621,-0.528350521528479,0.0110491928166266,"flatagr",NA
32.5,0,-0.857719672370717,0,0,0,"flat0",-0.702583676586681,-0.674284371403164,-0.354832962331926,-0.448837413930123,0.554561770299549,-0.523570307555171,-0.514942437191862,-0.459723945578236,-0.356045901574458,-0.00162133229796752,"flatagr",NA
33,0,-0.857719672370717,0,0,0,"flat0",-0.681636790936779,-0.616647889529874,-0.350672655685694,-0.498629908827601,0.523746314120915,-0.532978683403185,-0.56955434103565,-0.410819708613992,-0.510691341770251,0.00727499371898485,"flatagr",NA
33.5,0,-0.857719672370717,0,0,0,"flat0",-0.663871993795779,-0.835444129568564,-0.350959184878207,-0.441715008578026,0.488359933046183,-0.514200821307658,-0.526681506557577,-0.362452985766949,-0.783726835498486,0.0129362923654468,"flatagr",NA
34,0,-0.857719672370717,0,0,0,"flat0",-0.646337618495141,-0.821154092740475,-0.362443558140958,-0.367167868624048,0.464436438350586,-0.465243642862802,-0.459577258527191,-0.331207382929083,-0.681604188282679,0.0164409051007802,"flatagr",NA
34.5,0,-0.857719672370717,0,0,0,"flat0",-0.620365250712261,-0.772091632964039,-0.355985907922901,-0.271572300787695,0.46057595662273,-0.463386966225456,-0.351008916795322,-0.336644691435879,-0.586688873128368,0.0312681151290353,"flatagr",NA
35,0,-0.857719672370717,0,0,0,"flat0",-0.622395195653561,-0.507249617083471,-0.345434391828358,-0.285426364443086,0.419950809816198,-0.484352013516966,-0.309522569262922,-0.268367793440238,-0.457695370210392,-0.0053955303981416,"flatagr",NA
35.5,0,-0.857719672370717,0,0,0,"flat0",-0.580391713250544,-0.796861030132726,-0.369005555163051,-0.284517403820278,0.398877274718685,-0.40120327494038,-0.387581255920397,-0.256841197173615,-0.547297265096798,0.0121275352734571,"flatagr",NA
36,0,-0.857719672370717,0,0,0,"flat0",-0.574674931230684,-0.21192218930298,-0.359865216792432,-0.175198955611874,0.371590534873994,-0.385224345822019,-0.269066300268031,-0.209594720044338,-0.377143095556871,0.0110491928166266,"flatagr",NA
36.5,0,-0.857719672370717,0,0,0,"flat0",-0.570911302050232,-0.572031117370804,-0.363221169340273,-0.163197421704161,0.334097211801621,-0.356373133845428,-0.279103163693462,-0.164553118207119,-0.602411729940198,0.0215630330175585,"flatagr",NA
37,0,-0.857719672370717,0,0,0,"flat0",-0.542272557018807,-0.26558931811984,-0.372769821268198,-0.0242185732720211,0.265197414528085,-0.306803135237867,-0.154134365666038,-0.0513531064178575,-0.601345926576815,0.00592706589731363,"flatagr",NA
37.5,0,-0.857719672370717,0,0,0,"flat0",-0.502233178117868,-0.156032369104496,-0.379309240715766,-0.0346506603556087,0.219078905945523,-0.276022875207825,-0.118746724849963,-0.014901968199669,-0.34780282789171,0.0121275352734571,"flatagr",NA
38,0,-0.857719672370717,0,0,0,"flat0",-0.47246424926604,0.225829272197457,-0.388424177202673,0.0295662073157414,0.181728897379713,-0.217250228832045,-0.0989393883113141,0.0205254740872909,-0.200813346445246,0.0611921205503873,"flatagr",NA
38.5,0,-0.857719672370717,0,0,0,"flat0",-0.445548224923923,0.532271071448421,-0.400164240665592,0.153911386839181,0.13385505140878,-0.166587920756789,-0.0323651439975114,0.0641391582202864,0.0146079956869322,0.0903073688797495,"flatagr",NA
39,0,-0.857719672370717,0,0,0,"flat0",-0.394854358141363,0.66151656645815,-0.419974186797141,0.201444519298371,0.0668723374409502,-0.0911563779595965,0.0534145806478908,0.14391207838348,0.0969440439038189,0.109447949732794,"flatagr",NA
39.5,0,-0.799147704807364,0,0,0,"flat0",-0.34176459015149,0.3406259013831,-0.440414404698478,0.342568302762333,-0.00351542264282406,0.0138769148499302,0.175192210176279,0.232115028603732,-0.00340940513873831,0.122657645577071,"flatagr",NA
40,0,-0.657341888601351,0,0,0,"flat0",-0.215299526344964,0.508454343401607,-0.446946908649742,0.446162516915836,-0.127652252052101,0.0944069550956818,0.227719890410394,0.372430136084945,-0.284413765676548,0.129397286680362,"flatagr",NA
40.5,0,-0.571025304823778,0,0,0,"flat0",-0.136262696689339,-0.223195542196511,-0.43961857749534,0.688838308259357,-0.240295743186184,0.0544362993996802,0.417623168669665,0.511152225726942,0.11633640210859,0.153120821728104,"flatagr",NA
41,0,-0.395309402133719,0,0,0,"flat0",0.0196818835119749,-0.587908986877699,-0.466109735279455,0.640442461397542,-0.379009609346604,0.185026049590407,0.450114687445143,0.603507353156314,-0.0839140159156832,0.154738335912084,"flatagr",NA
41.5,0,-0.182600677824699,0,0,0,"flat0",0.16845680557375,-0.267970990924521,-0.507437033924996,0.82406962866456,-0.491285381923575,0.421605114983123,0.616340082449032,0.717866659688125,0.135204964577263,0.170643888397171,"flatagr",NA
42,0,-0.142525121070826,0,0,0,"flat0",0.243867283679861,0.230116283245883,-0.561047797264067,0.973483306051048,-0.65471087510229,0.692819887099608,0.827713910772925,0.852492463719659,0.400670262209545,0.204342092916163,"flatagr",NA
42.5,0,-0.114780504856606,0,0,0,"flat0",0.366077823450035,0.799971094694607,-0.649214536269807,1.16711348809264,-0.967385745795324,1.21100362775207,1.04338303700921,1.12156293365541,0.730834379543283,0.313254689035798,"flatagr",NA
43,0,-0.0531258021583397,0,0,0,"flat0",0.596496992728521,1.53193863828472,-0.731821316550854,1.24020859422156,-1.33274748642662,2.01411911307185,1.1588475593948,1.38541907145251,1.17254903390104,0.417584329963268,"flatagr",NA
43.5,0,-0.0407948616186864,0,0,0,"flat0",0.618331160417626,1.75264021656716,2.58538592199147,1.75394481513205,-1.58209930697053,3.25932648736021,1.60859165844436,1.61770841745518,1.02387522801222,0.49576416356956,"flatagr",NA
44,0,-0.0407948616186864,0,0,0,"flat0",0.702118678102029,1.75073487832341,2.34572247390895,2.17735808568137,-2.13832278947197,1.37477476041519,2.17113649246187,1.89129065891616,1.30478331310267,0.587962450112119,"flatagr",NA
44.5,0,0.10409368972224,0,0,0,"flat0",0.726306849072324,2.19166200518146,2.40824455308985,1.84380962935414,-2.05160620724794,1.74339328958293,1.87811486266013,1.96904794136892,1.42181892793777,0.711702256260009,"flatagr",NA
45,0,0.628158662657505,0,0,0,"flat0",1.0748238617477,2.02637391253658,2.48044379381004,1.58637221513303,-1.87207148778539,2.40635518508387,1.64840885295345,1.81242042561838,1.44730192586514,0.83840750441355,"flatagr",NA
45.5,0,0.914853030204444,0,0,0,"flat0",1.62607931841614,1.8398094412185,2.48218608076528,1.23014525829023,-2.07030154889243,1.50126507130989,1.22708663709749,1.69610330397053,1.68353612432886,0.926831592855935,"flatagr",NA
46,1,1.10289987343416,0,0,0,"flat0",1.53707886174266,2.03193109827181,2.61047375244282,1.19011400609658,-1.82553182904716,2.50343304137624,1.0850060701166,1.78624229196608,1.51704373504527,0.982905404600997,"flatagr",NA
46.5,1,1.38034603557636,0,0,0,"flat0",1.27371138226946,0.475587258697005,-0.6809724942821,1.06954005654956,-0.993879934976777,1.31957060978868,1.02242417078303,1.13790237586497,0.693217890937195,0.956755598277287,"flatagr",NA
47,1,1.79034980851983,0,0,0,"flat0",1.41988373922133,0.799494760133671,2.66428191487885,1.16067124948088,-1.14555584778764,1.77132515805591,1.23169711405019,1.26322716348727,0.595543477941184,0.74216543340851,"flatagr",NA
47.5,1,2.21884999227278,0,0,0,"flat0",1.89576148643459,2.07019669214271,2.46305646879659,2.13255268811706,-1.87856655666865,2.28623089218911,2.1683586589818,1.66014639338191,1.53095206598372,0.12050096066341,"flatagr",NA
