"time","billboard","tree","lake","house","sign","type","Edge","Hue","Sat","Lum","sdHue","sdSat","sdBright","Entropy","AvePref","scene_type","sky","slope"
17,0,-0.821585446793977,0,0,0,"flat0",-0.695136622157132,-0.749691581742895,-0.12201922590845,1.07646927511749,-0.822045917169131,0.0309175300029255,-1.17453085665091,-1.44431727381948,-0.775532801670411,"F",0.855569331328519,0.205089427059725
17.5,0,-0.818985158627081,0,0,0,"flat0",-0.884295159931737,-0.749299231529799,-0.078464352589723,1.05096423696147,-0.812934298010701,0.0640936280652319,-1.14561367408159,-1.49981333361797,-0.772339725747056,"F",0.834725861795164,0.205089427059725
18,0,-0.818985158627081,0,0,0,"flat0",-0.827178809700054,-0.758098119508519,-0.0544099258031294,1.03106102843737,-0.783619911090251,0.0826532796362486,-1.13394131402997,-1.4689073928308,-0.774661962586944,"F",0.816357620297631,0.205089427059725
18.5,0,-0.818985158627081,0,0,0,"flat0",-0.576583242179779,-0.749398285344473,-0.107508052425412,1.02734868067006,-0.814844429351975,0.0178571541438277,-1.14695264514103,-1.40909809796722,-0.761018819810054,"F",0.802519315646076,0.205089427059725
19,0,-0.816384870460185,0,0,0,"flat0",-0.89957540707289,-0.757400014224922,-0.0887199435412341,1.02539597126197,-0.776483192889935,0.0183315315273953,-1.1530684504266,-1.44189953924591,-0.717476876377054,"F",0.79865835446251,0.205089427059725
19.5,0,-0.813784582293289,0,0,0,"flat0",-0.699773444017725,-0.753139348659884,-0.0725658319426364,1.0112875258179,-0.797419478022755,0.0646895743850226,-1.12782706546123,-1.45669257503758,-0.700640657676808,"F",0.795074536894342,0.205089427059725
20,0,-0.811184294126393,0,0,0,"flat0",-0.640233268351693,-0.762302948556768,-0.119373097431358,0.998761953372779,-0.752818594234353,0.0449618856544185,-1.0839336346154,-1.36467462848995,-0.657969552253241,"F",0.785928646878677,0.205089427059725
20.5,0,-0.808584005959497,0,0,0,"flat0",0.0486409049033799,-0.75445347807307,-0.0134902333008619,0.977357675494128,-0.797101157841383,0.0864367235088275,-1.05914559477803,-1.23600066202539,-0.645777808306807,"F",0.775788840691528,0.205089427059725
21,0,-0.800783141458809,0,0,0,"flat0",-1.08198954106471,-0.776558103448607,-0.169774351690099,0.972572557898996,-0.713819803392882,-0.024112567405768,-1.05197224364661,-1.55353667841141,-0.628941589606562,"F",0.771813191076347,0.205089427059725
21.5,0,-0.785181412457433,0,0,0,"flat0",-1.0563820109896,-0.773587237697038,-0.229964146027124,0.985045308857165,-0.714716961872269,-0.111725049335893,-1.09466286750782,-1.57099591594342,-0.635037462116796,"F",0.76770375084991,0.205089427059725
